 ,,,,,,,For Andrew ,,,For Andrew ,For Andrew ,For Andrew ,For Andrew ,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",,
10/09/2020,V346,Stockton Short,GRL,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,V181,Uluwatu Water tank,HCC,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW960,Sun lover Tank,PTY,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/10/2020,VW148,Lizette Crop ,DSK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW323,Daily Legging ,DSK,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW142,Plyo Tank,BLK,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW418,Daily Jogger,ORE,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW959,Live give Tank,Storm,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW365,"Clementine Short 4""",DSK,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW108,Lux Performance Tank,HCE,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW123,Engery Top,HCE,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW401,Womens Ripstop Pant,HCC,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,VW217,Eclispe Track Jacket,HTG,XL,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/10/2020,V165,S/S Ever Henley,Oregano,L,1,Out,FALSE,Custom Sale,SL,,,,FALSE,,
10/11/2020,V302,Kore Short,BLK,L,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW905,Hello Sunshine Tank,Mauve,S,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
10/11/2020,VW303,Performance Jogger,HCA,XS,1,In,TRUE,Lightspeed Return,GV,1081,1780,1012,TRUE,,
