UPC,Style#,Style Desc,Size,Clr Desc,Division Desc,Clr, MSRP ,Size Type,Size Range Desc.,Division,Curr,,,,,
843084120987,V101,Tuvalu Tee,M,Saffron,Mens,SAF, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084120970,V101,Tuvalu Tee,S,Saffron,Mens,SAF, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121007,V101,Tuvalu Tee,XL,Saffron,Mens,SAF, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121014,V101,Tuvalu Tee,XXL,Saffron,Mens,SAF, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121045,V101,Tuvalu Tee,L,Salt,Mens,SAL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121038,V101,Tuvalu Tee,M,Salt,Mens,SAL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121021,V101,Tuvalu Tee,S,Salt,Mens,SAL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121052,V101,Tuvalu Tee,XL,Salt,Mens,SAL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
,V101,Tuvalu Tee,XXL,Salt,Mens,SAL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714669,V101,Tuvalu Tee,L,Steel Blue,Mens,SBE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714652,V101,Tuvalu Tee,M,Steel Blue,Mens,SBE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714645,V101,Tuvalu Tee,S,Steel Blue,Mens,SBE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714676,V101,Tuvalu Tee,XL,Steel Blue,Mens,SBE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714683,V101,Tuvalu Tee,XXL,Steel Blue,Mens,SBE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121090,V101,Tuvalu Tee,L,Sea,Mens,SEA, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121083,V101,Tuvalu Tee,M,Sea,Mens,SEA, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121076,V101,Tuvalu Tee,S,Sea,Mens,SEA, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121106,V101,Tuvalu Tee,XL,Sea,Mens,SEA, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084121113,V101,Tuvalu Tee,XXL,Sea,Mens,SEA, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714713,V101,Tuvalu Tee,L,Smoked Plum,Mens,SPM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714706,V101,Tuvalu Tee,M,Smoked Plum,Mens,SPM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714690,V101,Tuvalu Tee,S,Smoked Plum,Mens,SPM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714720,V101,Tuvalu Tee,XL,Smoked Plum,Mens,SPM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714737,V101,Tuvalu Tee,XXL,Smoked Plum,Mens,SPM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718020837,V101,Tuvalu Tee,L,Saltwater Red,Mens,SWR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718020820,V101,Tuvalu Tee,M,Saltwater Red,Mens,SWR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718020813,V101,Tuvalu Tee,S,Saltwater Red,Mens,SWR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718020844,V101,Tuvalu Tee,XL,Saltwater Red,Mens,SWR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718020851,V101,Tuvalu Tee,XXL,Saltwater Red,Mens,SWR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103584,V101,Tuvalu Tee,L,Tahiti,Mens,THT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103577,V101,Tuvalu Tee,M,Tahiti,Mens,THT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103560,V101,Tuvalu Tee,S,Tahiti,Mens,THT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103591,V101,Tuvalu Tee,XL,Tahiti,Mens,THT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103607,V101,Tuvalu Tee,XXL,Tahiti,Mens,THT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137473,V101,Tuvalu Tee,L,White,Mens,WHT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137466,V101,Tuvalu Tee,M,White,Mens,WHT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137459,V101,Tuvalu Tee,S,White,Mens,WHT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
