Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2842,Vuori Clothing,Vital Crew | Terracotta,Terracotta / XXL,V245TERXXL,843084179787,,,,,12.32,24.64,oz,delivered,03/24/2021 at 16:37,68.00,50,2,N/A,N/A,,,,
T2842,Vuori Clothing,Kore Short | Kelp,Kelp / L,V302KELLRG,843084179947,,,,,8.8,70.4,oz,delivered,03/24/2021 at 16:37,68.00,291,8,N/A,N/A,,,,
T2842,Vuori Clothing,Kore Short | Kelp,Kelp / M,V302KELMED,843084179930,,,,,8.8,70.4,oz,delivered,03/24/2021 at 16:37,68.00,231,8,N/A,N/A,,,,
T2842,Vuori Clothing,Kore Short | Kelp,Kelp / S,V302KELSML,843084179923,,,,,8.8,52.8,oz,delivered,03/24/2021 at 16:37,68.00,234,6,N/A,N/A,,,,
T2842,Vuori Clothing,Kore Short | Kelp,Kelp / XL,V302KELXLG,843084179954,,,,,8.8,35.2,oz,delivered,03/24/2021 at 16:37,68.00,265,4,N/A,N/A,,,,
T2842,Vuori Clothing,Kore Short | Kelp,Kelp / XXL,V302KELXXL,843084179961,,,,,8.8,17.6,oz,delivered,03/24/2021 at 16:37,68.00,20,2,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Burnt Clay Kona,Burnt Clay Kona / 30,V314BCK030,843084180165,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,4,2,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Burnt Clay Kona,Burnt Clay Kona / 32,V314BCK032,843084180172,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,47,3,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Burnt Clay Kona,Burnt Clay Kona / 33,V314BCK033,843084180189,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,57,2,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Burnt Clay Kona,Burnt Clay Kona / 34,V314BCK034,843084180196,,,,,5.92,23.68,oz,delivered,03/24/2021 at 16:37,68.00,75,4,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Burnt Clay Kona,Burnt Clay Kona / 36,V314BCK036,843084180202,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,48,3,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Burnt Clay Kona,Burnt Clay Kona / 38,V314BCK038,843084180219,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,19,2,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 30,V314CCK030,843084180233,,,,,5.92,5.92,oz,delivered,03/24/2021 at 16:37,68.00,18,1,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 32,V314CCK032,843084180240,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,73,3,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 33,V314CCK033,843084180257,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,57,2,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 34,V314CCK034,843084180264,,,,,5.92,23.68,oz,delivered,03/24/2021 at 16:37,68.00,115,4,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 36,V314CCK036,843084180271,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,52,3,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 38,V314CCK038,843084180288,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,29,2,N/A,N/A,,,,
T2842,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 30,V314COD030,843084165964,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,13,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 32,V314COD032,843084165971,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,49,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 33,V314COD033,843084165988,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,75,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 34,V314COD034,843084165995,,,,,5.92,23.68,oz,delivered,03/24/2021 at 16:37,68.00,81,4,N/A,N/A,18.15,72.60,,
T2842,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 36,V314COD036,843084166008,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,24,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 38,V314COD038,843084166015,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,56,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Splatter,Charcoal Splatter / 30,V314CSP030,843084166039,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,9,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Splatter,Charcoal Splatter / 32,V314CSP032,843084166046,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,82,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Splatter,Charcoal Splatter / 33,V314CSP033,843084166053,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,70,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Splatter,Charcoal Splatter / 34,V314CSP034,843084166060,,,,,5.92,23.68,oz,delivered,03/24/2021 at 16:37,68.00,69,4,N/A,N/A,18.15,72.60,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Splatter,Charcoal Splatter / 36,V314CSP036,843084166077,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,6,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Charcoal Splatter,Charcoal Splatter / 38,V314CSP038,843084166084,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,12,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 30,V314IWD030,843084166107,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,36,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 32,V314IWD032,843084166114,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,113,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 33,V314IWD033,843084166121,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,63,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 34,V314IWD034,843084166138,,,,,5.92,23.68,oz,delivered,03/24/2021 at 16:37,68.00,83,4,N/A,N/A,18.15,72.60,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 36,V314IWD036,843084166145,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:37,68.00,20,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 38,V314IWD038,843084166152,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,7,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 30,V314IWS030,843084166176,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:37,68.00,21,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 32,V314IWS032,843084166183,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:38,68.00,53,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 33,V314IWS033,843084166190,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:38,68.00,38,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 34,V314IWS034,843084166206,,,,,5.92,23.68,oz,delivered,03/24/2021 at 16:38,68.00,88,4,N/A,N/A,18.15,72.60,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 36,V314IWS036,843084166213,,,,,5.92,17.76,oz,delivered,03/24/2021 at 16:38,68.00,47,3,N/A,N/A,18.15,54.45,,
T2842,Vuori Clothing,Cruise Boardshort | Indigo Wave Stripe,Indigo Wave Stripe / 38,V314IWS038,843084166220,,,,,5.92,11.84,oz,delivered,03/24/2021 at 16:38,68.00,29,2,N/A,N/A,18.15,36.30,,
T2842,Vuori Clothing,"Banks Short 5"" | Kelp Micro Dot",Kelp Micro Dot / L,V366KMDLRG,843084182213,,,,,6.08,24.32,oz,delivered,03/24/2021 at 16:38,68.00,244,4,N/A,N/A,,,,
T2842,Vuori Clothing,"Banks Short 5"" | Kelp Micro Dot",Kelp Micro Dot / M,V366KMDMED,843084182206,,,,,6.08,24.32,oz,delivered,03/24/2021 at 16:38,68.00,253,4,N/A,N/A,,,,
T2842,Vuori Clothing,"Banks Short 5"" | Kelp Micro Dot",Kelp Micro Dot / S,V366KMDSML,843084182190,,,,,6.08,12.16,oz,delivered,03/24/2021 at 16:38,68.00,74,2,N/A,N/A,,,,
T2842,Vuori Clothing,"Banks Short 5"" | Kelp Micro Dot",Kelp Micro Dot / XL,V366KMDXLG,843084182220,,,,,6.08,12.16,oz,delivered,03/24/2021 at 16:38,68.00,74,2,N/A,N/A,,,,
T2842,Vuori Clothing,"Banks Short 5"" | Kelp Micro Dot",Kelp Micro Dot / XXL,V366KMDXXL,843084182237,,,,,6.08,6.08,oz,delivered,03/24/2021 at 16:38,68.00,13,1,N/A,N/A,,,,
