Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2840,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 30,V314CCK030,843084180233,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:46,68.00,19,2,N/A,N/A,,,,
T2840,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 32,V314CCK032,843084180240,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:46,68.00,76,3,N/A,N/A,,,,
T2840,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 33,V314CCK033,843084180257,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:46,68.00,56,2,N/A,N/A,,,,
T2840,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 34,V314CCK034,843084180264,,,,,5.92,23.68,oz,delivered,03/25/2021 at 14:46,68.00,118,4,N/A,N/A,,,,
T2840,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 36,V314CCK036,843084180271,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:46,68.00,50,3,N/A,N/A,,,,
T2840,Vuori Clothing,Cruise Boardshort | Charcoal Kona,Charcoal Kona / 38,V314CCK038,843084180288,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:46,68.00,31,2,N/A,N/A,,,,
T2840,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 30,V314COD030,843084165964,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,14,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 32,V314COD032,843084165971,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:47,68.00,46,3,N/A,N/A,18.15,54.45,,
T2840,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 33,V314COD033,843084165988,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,75,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 34,V314COD034,843084165995,,,,,5.92,23.68,oz,delivered,03/25/2021 at 14:47,68.00,78,4,N/A,N/A,18.15,72.60,,
T2840,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 36,V314COD036,843084166008,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:47,68.00,22,3,N/A,N/A,18.15,54.45,,
T2840,Vuori Clothing,Cruise Boardshort | Cognac Micro Dot,Cognac Micro Dot / 38,V314COD038,843084166015,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,55,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 30,V314IWD030,843084166107,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,37,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 32,V314IWD032,843084166114,,,,,5.92,17.76,oz,delivered,03/25/2021 at 14:47,68.00,113,3,N/A,N/A,18.15,54.45,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 33,V314IWD033,843084166121,,,,,5.92,11.84,oz,delivered,03/25/2021 at 14:47,68.00,65,2,N/A,N/A,18.15,36.30,,
T2840,Vuori Clothing,Cruise Boardshort | Indigo Water Drop,Indigo Water Drop / 34,V314IWD034,843084166138,,,,,5.92,23.68,oz,delivered,03/25/2021 at 14:47,68.00,85,4,N/A,N/A,18.15,72.60,,
